0c74dc68.jpg, What is the closure type?, slip-on
241d9281.jpg, What is the case's design?, Peacock
241d9281.jpg, What is the case's primary color?, Blue
241d9281.jpg, What animal is depicted?, Peacock
241d9281.jpg, What is the case made of?, Plastic
241d9281.jpg, What is the case's pattern?, Animal
ad5c7e66.jpg, What shape are the earrings?, Sphere
ad5c7e66.jpg, What is the color of the earrings?, Silver
ad5c7e66.jpg, How many earrings are visible?, Two
ad5c7e66.jpg, What is the material of the earrings?, Metal
ad5c7e66.jpg, What is the earring's finish?, Polished
c9797620.jpg, What is the pattern?, Leopard
c9797620.jpg, What is the heel shape?, Block
c9797620.jpg, What is the product type?, Boot
c9797620.jpg, What color is the boot?, Brown
c9797620.jpg, What is the boot height?, Ankle
2b50a58e.jpg, What is the color of the shoe?, Grey
2b50a58e.jpg, What type of shoe is this?, Flat
2b50a58e.jpg, What is the shape of the toe?, Round
6aa736e1.jpg, What color are the shoes?, Blue
6aa736e1.jpg, What is the sole color?, Brown
6aa736e1.jpg, What type of footwear is this?, Shoes
6aa736e1.jpg, Are the shoes low-top or high-top?, Low-top
6aa736e1.jpg, What is the sole material?, Rubber
757b37a6.jpg, What color is the background?, Black
757b37a6.jpg, What is the pattern color?, White
757b37a6.jpg, What is the item?, Case
757b37a6.jpg, What is the case for?, Phone
ee52c15d.jpg, What shape are the stones?, Square
ee52c15d.jpg, What is the ring's color?, Silver
ee52c15d.jpg, How many stones are there?, Five
ee52c15d.jpg, What is the ring's material?, Metal
ee52c15d.jpg, What type of jewelry is this?, Ring
d0963dad.jpg, What color is the boot?, Black
d0963dad.jpg, What type of footwear is this?, Boot
d0963dad.jpg, Is the toe pointed?, Yes
c94a8b0c.jpg, What color is the phone case?, Pink
c94a8b0c.jpg, What is the pattern on the case?, Waterfall
c94a8b0c.jpg, What is the case made for?, Phone
6d64fac5.jpg, What is the flower color?, pink
6d64fac5.jpg, What is the case's pattern?, floral
6d64fac5.jpg, What is the case's background color?, dark
6d64fac5.jpg, What is the object in the image?, phone
6d64fac5.jpg, What is the number of visible flowers?, three
a56168f6.jpg, What color are the arrows?, Black
a56168f6.jpg, What is the background color?, White
a56168f6.jpg, What pattern is on the case?, Arrows
a56168f6.jpg, How many cameras are visible?, Two
a56168f6.jpg, What direction do the arrows point?, Left
102a812d.jpg, What color are the curtains?, blue
102a812d.jpg, How many curtains are visible?, two
102a812d.jpg, What is the curtain's material?, polyester
102a812d.jpg, What is the curtain's style?, eyelet
a7891a00.jpg, What is the color of the left side?, pink
a7891a00.jpg, What is the color of the headphones?, blue
a7891a00.jpg, What is the color of the right side?, blue
a7891a00.jpg, What is the object in the middle?, headphones
a7891a00.jpg, What is the object's shape?, rectangle
61ea5462.jpg, What animal is pictured?, Peacock
61ea5462.jpg, What color is the peacock's head?, Blue
61ea5462.jpg, What is the pattern on the case?, Peacock
61ea5462.jpg, What is the case made of?, Plastic
61ea5462.jpg, What is the case's primary color?, Blue
1b778a6a.jpg, What color is the case?, Black
1b778a6a.jpg, What is written in blue?, IamMe
1b778a6a.jpg, What is the case made of?, Silicon
1b778a6a.jpg, Is there a camera hole?, Yes
1b778a6a.jpg, Is the case on a phone?, Yes
7a8d65eb.jpg, What shape is the pillow?, Rectangular
7a8d65eb.jpg, What is the pillow's color?, Terracotta
7a8d65eb.jpg, Are there pom-poms on the pillow?, Yes
7a8d65eb.jpg, What is on the pillow's sides?, Pom-poms
7a8d65eb.jpg, What is the pillow's color?, Orange
208c3da8.jpg, What color is the folder?, Pink
208c3da8.jpg, What is the folder's hue?, Pink
208c3da8.jpg, What is the folder's shade?, Pink
208c3da8.jpg, What is the folder's tint?, Pink
208c3da8.jpg, What is the folder's color?, Pink
772f54e7.jpg, How many glasses are there?, Four
772f54e7.jpg, What is the color of the liquid?, Yellow
772f54e7.jpg, What is the shape of the glass?, Flute
772f54e7.jpg, Are the glasses empty?, No
772f54e7.jpg, What is the material of the glasses?, Glass
87a3f1c4.jpg, What is the color of the sandal?, Pink
87a3f1c4.jpg, Is there a buckle on the sandal?, Yes
87a3f1c4.jpg, What is the shape of the toe?, Round
a262e6c0.jpg, What shape is the pillow?, Rectangular
a262e6c0.jpg, What pattern is on the pillow?, Stripes
a262e6c0.jpg, What color are the stripes?, Blue
a262e6c0.jpg, What is the pillow's orientation?, Horizontal
a262e6c0.jpg, What is the pillow's primary color?, Blue
838a76a6.jpg, What is the pattern?, Petals
838a76a6.jpg, What is the color of the petals?, Pink
838a76a6.jpg, Are there yellow petals?, Yes
838a76a6.jpg, Are there red petals?, Yes
838a76a6.jpg, Is the case floral?, Yes
6a44b0fb.jpg, What is the color of the phone case?, Black
6a44b0fb.jpg, What is written on the case?, Girl
6a44b0fb.jpg, What is the color of the text?, Gold
e2836fa1.jpg, What shape are the earrings?, Hoops
e2836fa1.jpg, What is the color of the earrings?, Silver
e2836fa1.jpg, How many earrings are there?, Two
e2836fa1.jpg, Are the earrings shiny?, Yes
e2836fa1.jpg, Are the earrings closed?, Yes
92abd658.jpg, What is the background color?, black
92abd658.jpg, What is the pattern on the case?, skulls
92abd658.jpg, What shape are the flowers?, star
92abd658.jpg, What color are the flowers?, orange
92abd658.jpg, What is the case's material?, silicone
92abd658.jpg, What is the case's primary color?, black
92abd658.jpg, What is the case's secondary color?, multi-colored
92abd658.jpg, What is the case's design?, abstract
92abd658.jpg, What is the case's design?, skull
92abd658.jpg, What is the case's design?, floral
d22aa51e.jpg, What color is the bottom rectangle?, Orange
d22aa51e.jpg, What color are the vertical stripes on the right?, Blue
d22aa51e.jpg, What shape is the camera cutout?, Circle
d22aa51e.jpg, What color is the horizontal line?, Red
d22aa51e.jpg, What is the background color?, White
9c7e0999.jpg, What color is the shoe?, Blue
9c7e0999.jpg, What is the heel type?, Block
9c7e0999.jpg, Is the toe open or closed?, Open
9c7e0999.jpg, What is the material pattern?, Croc
9c7e0999.jpg, What type of footwear is this?, Sandal
67da208a.jpg, What is the case's primary color?, Pink
67da208a.jpg, What shape is the logo?, Apple
67da208a.jpg, Are there water droplets?, Yes
67da208a.jpg, What is the case made for?, iPhone
67da208a.jpg, Is the case shiny?, Yes
4bb87ce9.jpg, How many lights are hanging?, Four
4bb87ce9.jpg, What color is the top light?, Orange
4bb87ce9.jpg, What is behind the lights?, Water
4bb87ce9.jpg, What is the background?, Blurry
4bb87ce9.jpg, What is the object?, Case
702f7cad.jpg, What color is the letter?, Gold
702f7cad.jpg, What is the pattern's color?, Gold
702f7cad.jpg, What is the case's color?, Black
702f7cad.jpg, What is the letter shown?, U
702f7cad.jpg, What is the case's material?, Silicone
e9c27455.jpg, What is the primary color?, Pink
e9c27455.jpg, What shape are the patterns?, Dots
e9c27455.jpg, Is there a border?, Yes
65f2c949.jpg, What is the color of the sky?, Blue
65f2c949.jpg, What is the color of the tower on the left?, Black
65f2c949.jpg, What is the color of the tower on the right?, Black
65f2c949.jpg, What is the pattern in the background?, Triangles
65f2c949.jpg, What is the material of the case?, Silicone
492fc186.jpg, What color is the bag?, Red
492fc186.jpg, What is the bag's style?, Handbag
492fc186.jpg, What is the bag's material?, Leather
492fc186.jpg, What is the bag's product type?, Handbag
36bf8ec0.jpg, What color is the beanbag?, Red
36bf8ec0.jpg, What other color is the beanbag?, Black
36bf8ec0.jpg, What shape is the beanbag?, Round
36bf8ec0.jpg, Is the beanbag striped?, Yes
36bf8ec0.jpg, Is the beanbag dark?, Yes
f16c83c5.jpg, What is the footwear's style?, Boot
f16c83c5.jpg, What is the toe shape?, Pointed
f16c83c5.jpg, What is the heel height?, Mid
778add55.jpg, What is the case's pattern?, Butterflies
778add55.jpg, What color is the largest butterfly?, Pink
778add55.jpg, What is the case made for?, Phone
778add55.jpg, What is the case's background color?, Blue
778add55.jpg, What is the color of a butterfly?, Yellow
6f378501.jpg, What color is the phone case border?, blue
6f378501.jpg, What logo is visible on the phone?, apple
6f378501.jpg, Is the back of the phone case transparent?, yes
6f378501.jpg, How many cameras are visible?, three
6f378501.jpg, What brand is on the phone?, iphone
795bdfab.jpg, What shape is the ottoman?, Square
795bdfab.jpg, What color are the legs?, Brown
795bdfab.jpg, How many legs are visible?, Four
795bdfab.jpg, What is the ottoman's primary color?, Blue
795bdfab.jpg, Is the ottoman elevated?, Yes
3fa57298.jpg, What is the background color?, Black
3fa57298.jpg, What shape are the white figures?, Stars
3fa57298.jpg, What is the pattern?, Stars
3fa57298.jpg, What is the item?, Case
3fa57298.jpg, What is the case for?, Phone
d405854d.jpg, What color is the case?, Red
d405854d.jpg, What is written on the case?, NO
d405854d.jpg, What object is pictured?, Case
c1b57d77.jpg, What is the case's background color?, Brown
c1b57d77.jpg, What is written on the case?, Girl
c1b57d77.jpg, What is the case made of?, Wood
c1b57d77.jpg, What is the case's pattern?, Wood
c1b57d77.jpg, What is the case's material?, Wood
1437e414.jpg, What color is the wallet?, Fuchsia
1437e414.jpg, What is the wallet made of?, Leather
1437e414.jpg, What is the wallet's shape?, Rectangular
1437e414.jpg, Is the wallet new?, Yes
1437e414.jpg, What is the wallet's material?, Cowhide
0f4bd02c.jpg, What is the color of the blocks?, Beige
0f4bd02c.jpg, What word is spelled out?, LIKE
0f4bd02c.jpg, What is the object?, Phone
0f4bd02c.jpg, What is the pattern?, Blocks
0f4bd02c.jpg, What is the case made of?, Plastic
e4f6de25.jpg, What color are the mugs?, red
e4f6de25.jpg, What is on the shelf?, dishes
e4f6de25.jpg, What is the shape of the cabinet?, rectangle
e4f6de25.jpg, What color is the top?, white
e4f6de25.jpg, How many shelves are visible?, two
0f5e9e0e.jpg, What color is the case?, White
0f5e9e0e.jpg, What is written in the middle?, Mumbai
0f5e9e0e.jpg, What animal is drawn?, Horse
0f5e9e0e.jpg, What is the case's pattern?, Comics
0f5e9e0e.jpg, What is the case made for?, Phone
6b6780bb.jpg, What shape are the finials?, Spherical
6b6780bb.jpg, What color are the rods?, Black
6b6780bb.jpg, How many finials are there?, Two
6b6780bb.jpg, What color are the finial bases?, Black
6b6780bb.jpg, What is the finial material?, Acrylic
bcc79d93.jpg, What is the shoe's color?, Brown
bcc79d93.jpg, What is the closure type?, Lace-up
bcc79d93.jpg, What is the shoe style?, Oxford
bcc79d93.jpg, What is the toe style?, Closed
cebad4c2.jpg, What color is the dress?, Pink
cebad4c2.jpg, What is the pattern behind the girl?, Mandala
cebad4c2.jpg, What is the girl doing?, Dancing
cebad4c2.jpg, What is the material of the case?, Plastic
cebad4c2.jpg, What is the product?, Case
62d64bcf.jpg, What is the case's pattern?, Squares
62d64bcf.jpg, What color is the camera circle?, Red
62d64bcf.jpg, What is the case's material?, Hard
62d64bcf.jpg, What is the case's design?, Textured
82c80ca2.jpg, What is the item?, Necklace
82c80ca2.jpg, What color is the necklace?, White
145b7d70.jpg, What color is the phone case?, Pink
145b7d70.jpg, What is written on the case?, Daddy's
145b7d70.jpg," What is above the word ""Girl""?", Crown
145b7d70.jpg, What is the pattern on the text?, Leopard
145b7d70.jpg, What is the case's background?, Striped
b07f3c25.jpg, What color is the letter?, Gold
b07f3c25.jpg, What is on the left side?, Floral
b07f3c25.jpg, What is the letter?, Y
b07f3c25.jpg, What is the background color?, Black
b07f3c25.jpg, What is the pattern color?, Gold
e6d0b253.jpg, What color is the charger?, Blue
e6d0b253.jpg, How many lights are visible?, Four
e6d0b253.jpg, What brand is on the charger?, Amazonbasics
e6d0b253.jpg, Is there a button on the charger?, Yes
e6d0b253.jpg, What shape is the charger?, Rectangular
56df1789.jpg, What shape are the pads?, Square
56df1789.jpg, What color are the pads?, Brown
56df1789.jpg, How many pads are on the sheet?, 28
56df1789.jpg, Are the pads on a sheet?, Yes
18cb4849.jpg, What color is the backpack?, Black
18cb4849.jpg, What is on the backpack?, Amazon
18cb4849.jpg, What is the product?, Backpack
18cb4849.jpg, How many zippers are visible?, 4
18cb4849.jpg, What is the color of the zipper pulls?, Orange
18cb4849.jpg, What is the material of the backpack?, Twill
2a7ec294.jpg, What is the color of the bottom scales?, green
2a7ec294.jpg, What is the color of the top scales?, blue
2a7ec294.jpg, What shape are the scales?, oval
2a7ec294.jpg, What color is the third row of scales?, red
2a7ec294.jpg, What color is the fourth row of scales?, orange
bc516c89.jpg, What color is the recliner?, Brown
bc516c89.jpg, What is the shape of the recliner?, Square
bc516c89.jpg, What type of furniture is this?, Furniture
bc516c89.jpg, What is the recliner's style?, Mid-Back
bc516c89.jpg, What is next to the recliner?, Plant
bc516c89.jpg, What is on the wall?, Picture
bc516c89.jpg, What is on the table?, Books
bc516c89.jpg, What is the floor covering?, Rug
4c2b75ff.jpg, What is the case's pattern?, Leaf
4c2b75ff.jpg, What is the case's color?, Multi-colored
4c2b75ff.jpg, What is the case's material?, Hard
4c2b75ff.jpg, Is the case shiny?, Yes
4c2b75ff.jpg, What is the case's primary color?, Green
9150fa75.jpg, What color is the fork?, black
9150fa75.jpg, What color is the spoon?, black
9150fa75.jpg, What color is the knife?, black
9150fa75.jpg, How many forks are visible?, one
9150fa75.jpg, How many spoons are visible?, one
9150fa75.jpg, How many knives are visible?, one
9150fa75.jpg, What utensil is on the left?, fork
bfb65f38.jpg, What is the pattern?, Geometric
bfb65f38.jpg, What is the object?, Phone
bfb65f38.jpg, What is the background color?, White
bfb65f38.jpg, What is the shape?, Rectangular
bfb65f38.jpg, What is the camera color?, Gold
9a57a5ba.jpg, What is the color of the sky?, Orange
9a57a5ba.jpg, What is the shape of the sun?, Circle
9a57a5ba.jpg, What is the color of the sun?, Yellow
9a57a5ba.jpg, Are there birds in the image?, Yes
9a57a5ba.jpg, What is the background color?, Orange
01b3225e.jpg, What is the pattern on the case?, Wood
01b3225e.jpg, What color is the case?, Brown
01b3225e.jpg, What is the case made of?, Silicon
01b3225e.jpg, What is the shape of the case?, Rectangle
01b3225e.jpg, What is the orientation of the phone?, Vertical
84ce15ee.jpg, What is the flower's color?, Red
84ce15ee.jpg, What is the background color?, Black
84ce15ee.jpg, What is the object?, Phone
84ce15ee.jpg, What is the flower's orientation?, Vertical
84ce15ee.jpg, What is the flower's type?, Wisteria
0865aefd.jpg, What is the color of the flowers?, White
0865aefd.jpg, What is the background color?, Blue
0865aefd.jpg, Are there flowers in the image?, Yes
0865aefd.jpg, Is the object a phone case?, Yes
0865aefd.jpg, What is the flower's color?, White
580c1990.jpg, What is the bag's color?, Pink
580c1990.jpg, What is attached to the bag?, Fringe
580c1990.jpg, What is the bag's shape?, Rectangular
580c1990.jpg, What is the bag's material?, Leather
580c1990.jpg, Is there a zipper?, Yes
ee8ad736.jpg, What color is the whale?, Orange
ee8ad736.jpg, What is above the whale?, Stars
ee8ad736.jpg, What is the whale swimming in?, Water
ee8ad736.jpg, What is on the island?, House
ee8ad736.jpg, What is next to the house?, Lighthouse
ee8ad736.jpg, What is the case for?, Phone
ad990365.jpg, What color is the sole?, Black
ad990365.jpg, What is the shoe's style?, Sneaker
ad990365.jpg, What is the shoe's primary color?, Grey
ad990365.jpg, What is the shoe's closure type?, Slip-on
ad990365.jpg, What is the material of the upper?, Textile
fb007030.jpg, What is the background color?, blue
fb007030.jpg, How many clouds are visible?, two
fb007030.jpg, What is the case's material?, silicone
fb007030.jpg, What is the case's design?, printed
fb007030.jpg, What is the color of the ladder?, yellow
fb007030.jpg, What is the color of the bunting?, yellow
fb007030.jpg, How many fish are visible?, three
fb007030.jpg, What is the color of the fish?, blue
fb007030.jpg, What is the color of the flower?, white
fb007030.jpg, What is the color of the bow?, red
e83dd23a.jpg, What color is the phone case?, Gold
e83dd23a.jpg, What is the pattern on the case?, Sparkle
e83dd23a.jpg, What shape is the camera lens?, Round
e83dd23a.jpg, What is the case made of?, Plastic
e83dd23a.jpg, How many camera lenses are visible?, 3
5a3132a9.jpg, What shape is golden?, Heart
5a3132a9.jpg, What color is the background?, Red
5a3132a9.jpg, What is the flower color?, White
5a3132a9.jpg, What is the flower tied with?, Bow
5a3132a9.jpg, What is the case's color?, Red
34ed44c5.jpg, What shape are the light figures?, Stars
34ed44c5.jpg, What is the color of the stars?, Golden
34ed44c5.jpg, What is the color of the dark figures?, Brown
4221c328.jpg, What color is the towel?, Oat
4221c328.jpg, What is the towel's material?, Cotton
4221c328.jpg, Is the towel folded?, Yes
4221c328.jpg, Is the towel flat?, No
4221c328.jpg, Is the towel new?, Yes
0eec0a3b.jpg, What is the object's pattern?, Swirl
0eec0a3b.jpg, What is the object's color?, Multicolor
0eec0a3b.jpg, What is the object?, Case
5d5101af.jpg, What color is the background?, white
5d5101af.jpg, What is the main object in the image?, tree
5d5101af.jpg, What is the image printed on?, case
5d5101af.jpg, What is the tree's color?, black
5d5101af.jpg, What is the case's shape?, rectangular
41f3db74.jpg, What is the color of the phone case?, Yellow
41f3db74.jpg, What is the pattern on the case?, Wood
41f3db74.jpg, What is the product type?, Case
1e2a550e.jpg, What color are the sandals?, Grey
1e2a550e.jpg, What is the footwear's style?, Ankle-Strap
1e2a550e.jpg, What is the toe shape?, Round
1e2a550e.jpg, What is the heel type?, Flats
1e2a550e.jpg, What is the closure type?, Slip-on
d7273ed0.jpg, What color is the background?, Red
d7273ed0.jpg, What shape is on the case?, Hearts
d7273ed0.jpg, What is the case's pattern?, Hearts
d7273ed0.jpg, What color are the hearts?, Silver
d7273ed0.jpg, Is there a camera?, Yes
694c0e3d.jpg, What is the product?, Shoes
694c0e3d.jpg, What is the heel type?, Covered
694c0e3d.jpg, What is the heel height?, High
694c0e3d.jpg, What is the color?, Pink
694c0e3d.jpg, Are there ruffles?, Yes
694c0e3d.jpg, Is there a strap?, Yes
694c0e3d.jpg, Is there a tie?, Yes
694c0e3d.jpg, What is the material?, Suede
774164bb.jpg, What shape is predominantly featured?, Heart
774164bb.jpg, What color are the hearts?, Pink
774164bb.jpg, What is the background color?, Black
774164bb.jpg, What shape is also present?, Star
774164bb.jpg," Is the word ""love"" visible?", Yes
f1d081f1.jpg, What color is the mat?, Smoke
f1d081f1.jpg, Is the mat dark?, Yes
f1d081f1.jpg, Is the mat rectangular?, Yes
f1d081f1.jpg, Is the mat indoors?, Yes
f1d081f1.jpg, Is the mat flat?, Yes
874f86c4.jpg, Is the image present?, no
0db3486e.jpg, What is the main color?, Purple
0db3486e.jpg, What is the object in the center?, Tree
0db3486e.jpg, What is the shape of the object?, Rectangle
0db3486e.jpg, What is the background color?, Pink
0db3486e.jpg, What is the object at the top?, Camera
cd3b1d43.jpg, What color is the top portion?, Blue
cd3b1d43.jpg, What color is the bottom portion?, Yellow
cd3b1d43.jpg, What is the pattern on the case?, Wooden
