image_name,question,answer
5fbdb2d3.jpg,What is the bootie's color?,taupe
5fbdb2d3.jpg,Is the bootie quilted?,yes
5fbdb2d3.jpg,What is the material of the bootie?,leather
dedf911e.jpg,What color is the rose?,Pink
dedf911e.jpg,What is the color of the cherries?,Pink
dedf911e.jpg,"What is written above ""vesx""?",Hello
dedf911e.jpg,What is the color of the sun?,Yellow
dedf911e.jpg,"What is the color of the text ""Menu""?",Black
9a9f3e1a.jpg,What is the color of the slice?,Orange
9a9f3e1a.jpg,What is the pattern on the case?,Slice
9a9f3e1a.jpg,What is the fruit on the case?,Orange
9a9f3e1a.jpg,What is the case made of?,Hard
9a9f3e1a.jpg,What is the case's design?,Printed
11d81136.jpg,What is the background color?,Black
11d81136.jpg,What is the pattern?,Stars
11d81136.jpg,What is the item?,Case
11d81136.jpg,What is the case color?,Multicolor
95a95d59.jpg,What color is the glitter?,Red
95a95d59.jpg,What is the shape on the cover?,Crown
95a95d59.jpg,What word is on the cover?,Queen
95a95d59.jpg,What is the product?,Case
62e5bf81.jpg,What color are the shoes?,Black
62e5bf81.jpg,What is the closure type?,Lace-Up
62e5bf81.jpg,What is the toe style?,Round
62e5bf81.jpg,What is the shoe style?,Sneakers
ef7ebf1e.jpg,What is the ring's color?,Silver
ef7ebf1e.jpg,What is the ring's material?,Metal
ef7ebf1e.jpg,What shape are the stones?,Square
ef7ebf1e.jpg,What is the product?,Ring
ef7ebf1e.jpg,How many stones are there?,Three
6b096d57.jpg,What is the shoe's color?,Brown
6b096d57.jpg,Are the shoes laced?,Yes
6b096d57.jpg,What is the product type?,Shoes
7387f36e.jpg,What is the background color?,Black
7387f36e.jpg,What is the object hanging?,Flowers
7387f36e.jpg,What is the flower container?,Bottle
7387f36e.jpg,What is the flower color?,White
7387f36e.jpg,What is the case design?,Floral
d2e1ff84.jpg,What color is the chair?,Brown
d2e1ff84.jpg,What is the product type?,Chair
d2e1ff84.jpg,What is the material of the legs?,Wood
d2e1ff84.jpg,Is the chair reclined?,No
d2e1ff84.jpg,What is the upholstery material?,Leather
943c9540.jpg,What is the color of the letter?,Gold
943c9540.jpg,What is the color of the background?,Blue
943c9540.jpg,What is the color of the swirls?,Gold
6fdcedcc.jpg,What animal is depicted?,Lion
6fdcedcc.jpg,What is the pattern style?,Vector
6fdcedcc.jpg,What is the case's style?,Hard
6fdcedcc.jpg,What is the case's color?,Multicolor
6fdcedcc.jpg,What is the case's material?,Hard
1e1a1ba0.jpg,What color is the pendant?,Purple
1e1a1ba0.jpg,What is the item type?,Necklace
1e1a1ba0.jpg,What is the pendant's shape?,Square
1e1a1ba0.jpg,What is the chain's color?,Silver
1e1a1ba0.jpg,What is the pendant's material?,Metal
c69e512d.jpg,What color is the light?,White
c69e512d.jpg,What is the light made of?,Plastic
c69e512d.jpg,What is the product?,Light
67e00b8b.jpg,What is the item's color?,black
67e00b8b.jpg,What is on the hand?,splint
67e00b8b.jpg,How many straps are visible?,three
67e00b8b.jpg,What is the hand's orientation?,right
67e00b8b.jpg,What is the item next to the hand?,box
60aad32e.jpg,What shape is the mirror?,round
60aad32e.jpg,What color is the frame?,gold
60aad32e.jpg,What is the mirror hanging from?,strap
60aad32e.jpg,What is the mirror made of?,glass
3595924e.jpg,What is the brand?,amazonbasics
6faf2534.jpg,What color is the moon?,Yellow
6faf2534.jpg,What is above the tree?,Moon
6faf2534.jpg,What is the product?,Case
6faf2534.jpg,What is the tree's color?,Blue
6faf2534.jpg,What is the product material?,Silicone
ba79a5e3.jpg,What is the pattern color?,Black
ba79a5e3.jpg,What is the pattern color?,White
ba79a5e3.jpg,What shape is prominent?,Triangle
ba79a5e3.jpg,Is the pattern symmetrical?,No
ba79a5e3.jpg,Is the item rectangular?,Yes
7cd82224.jpg,What color is the background?,Black
7cd82224.jpg,What is the pattern color?,White
7cd82224.jpg,What is the item?,Case
17f45e4b.jpg,How many baskets are there?,Two
17f45e4b.jpg,What color are the baskets?,Black
17f45e4b.jpg,What shape are the baskets?,Square
bbacbf47.jpg,What shape is the pendant?,Heart
bbacbf47.jpg,What color is the necklace?,White
bbacbf47.jpg,What is the necklace made of?,Metal
bbacbf47.jpg,What is the clasp type?,Ring
b3816af7.jpg,What color are the flowers?,Pink
b3816af7.jpg,What is the background color?,Blue
b3816af7.jpg,What is the flower type?,Tulips
b3816af7.jpg,What is the case's material?,Hard
b3816af7.jpg,What is the case's pattern?,Floral
5792ca74.jpg,What color is the case?,Multicolor
5792ca74.jpg,What is the case's pattern?,Floral
5792ca74.jpg,What is the case made of?,Plastic
5792ca74.jpg,What is the case's background color?,Black
5792ca74.jpg,What is the design color?,White
905deb37.jpg,What color is the shade?,Grey
905deb37.jpg,What is the shade's pattern?,Pleated
905deb37.jpg,What is the shade's material?,Polyester
905deb37.jpg,Is the shade up or down?,Down
905deb37.jpg,What is the frame color?,White
e37a5662.jpg,What is the color of the bottom right macaron?,red
e37a5662.jpg,What is the color of the macaron on the top row?,green
e37a5662.jpg,What is the color of the macaron on the bottom row?,yellow
e37a5662.jpg,What is the color of the macaron to the left of the red macaron?,yellow
e37a5662.jpg,What is the color of the macaron above the red macaron?,yellow
dc9f6bf3.jpg,What is the product type?,case
dc9f6bf3.jpg,What is the color of the product?,multicolored
dc9f6bf3.jpg,What is the pattern on the case?,abstract
dc9f6bf3.jpg,What is the shape of the design?,triangles
dc9f6bf3.jpg,What is the material of the case?,hard
eb5ec18b.jpg,What is the ring's color?,Gold
eb5ec18b.jpg,What is the ring's shape?,Round
eb5ec18b.jpg,What is the object?,Ring
cdca58d2.jpg,What is the product?,case
cdca58d2.jpg,What color is the top?,blue
cdca58d2.jpg,What color is the bottom?,red
cdca58d2.jpg,What is the pattern?,abstract
9868d415.jpg,What shape are the earrings?,hoops
9868d415.jpg,What color are the earrings?,gold
d5276cfe.jpg,What color is the hub?,BLACK
d5276cfe.jpg,What brand is on the hub?,amazonbasics
d5276cfe.jpg,How many USB ports are visible?,three
4b1f8b4e.jpg,What color is the tape?,Black
4b1f8b4e.jpg,What is on the leg?,Tape
4b1f8b4e.jpg,What shape are the strips?,I
4b1f8b4e.jpg,What is the brand name?,Solimo
55c6b97f.jpg,What color is the background?,black
55c6b97f.jpg,What is the product's material?,plastic
55c6b97f.jpg,What is the pattern's style?,cartoon
55c6b97f.jpg,What is the product's type?,case
55c6b97f.jpg,What is the number of cameras?,three
ab36632f.jpg,What is the bucket's color?,Copper
ab36632f.jpg,What is the bucket made of?,Iron
ab36632f.jpg,What is the bucket's finish?,Brushed
ab36632f.jpg,What is the bucket's shape?,Round
ab36632f.jpg,Is there a hole?,Yes
486308dc.jpg,What is the product?,wipes
486308dc.jpg,What number is on the package?,480
486308dc.jpg,How many refill packs?,6
486308dc.jpg,What is the brand name?,365
46b0afd9.jpg,What is the main subject in the image?,Teddy
46b0afd9.jpg,What color is the envelope?,Red
46b0afd9.jpg,What color is the background?,Black
46b0afd9.jpg,What is on the grass?,Teddy
46b0afd9.jpg,What is the item in the image?,Case
b8e159e5.jpg,What is the product?,Case
b8e159e5.jpg,What is the pattern?,Abstract
b8e159e5.jpg,What is the color?,Multicolor
b8e159e5.jpg,Are there circles?,Yes
b8e159e5.jpg,Is it colorful?,Yes
6727521f.jpg,What is the background color?,Pink
6727521f.jpg,What is the pattern on the case?,Rabbits
6727521f.jpg,What is the color of the rabbits?,White
6727521f.jpg,What is the product?,Case
6727521f.jpg,What is the case for?,Phone
b7513453.jpg,What is the main structure depicted?,Tower
b7513453.jpg,What color is the sky?,Purple
b7513453.jpg,What is the case's material?,Plastic
b7513453.jpg,What is the case's pattern?,Tower
b7513453.jpg,What is the case's color?,Multicolor
85eb12f4.jpg,What color is the sandal?,Black
85eb12f4.jpg,What type of footwear is this?,Sandal
ee3174d6.jpg,What is the product?,Case
ee3174d6.jpg,What is the brand logo?,Apple
ee3174d6.jpg,What is the sky color?,Purple
ee3174d6.jpg,What is the tree color?,Black
ee3174d6.jpg,What is the horizon color?,Pink
9015fd34.jpg,What is the color of the flowers?,Multicolor
9015fd34.jpg,What is the product type?,Case
9015fd34.jpg,What is the material?,Silicone
9015fd34.jpg,What is the pattern on the case?,Floral
9015fd34.jpg,What is the shape of the object?,Rectangle
688bee0d.jpg,What is the footwear's color?,Brown
688bee0d.jpg,What is the toe style?,Open
688bee0d.jpg,What is the footwear's closure?,Slip-on
688bee0d.jpg,What type of footwear is it?,Sandal
688bee0d.jpg,What is the material?,Synthetic
04869526.jpg,What is the main object?,Motorcycle
04869526.jpg,What color is the motorcycle?,Silver
04869526.jpg,What is the case's background?,Gray
b9853aa1.jpg,What is the case's color?,Multicolor
b9853aa1.jpg,What is the case's material?,Plastic
b9853aa1.jpg,What is the pattern on the case?,Moon
b9853aa1.jpg,What is reflected in the water?,Moon
b9853aa1.jpg,What is the case's shape?,Rectangle
e84e1c20.jpg,What is the background color?,Orange
e84e1c20.jpg,What animals are visible?,Giraffes
e84e1c20.jpg,What is the case material?,Silicone
e84e1c20.jpg,What is the pattern on the case?,Sunshade
48c059a0.jpg,What is the product?,case
48c059a0.jpg,What is the case's pattern?,abstract
48c059a0.jpg,What is the case's color?,multicolored
48c059a0.jpg,What is the case's material?,hard
1cbcfd37.jpg,What is the pattern?,Flowers
1cbcfd37.jpg,What is the case's color?,Multicolor
1cbcfd37.jpg,What is the case material?,Silicon
1cbcfd37.jpg,What is the flower color?,Purple
1cbcfd37.jpg,What is the product type?,Case
ff6ae7af.jpg,What shape is the central design?,Circle
ff6ae7af.jpg,What is the case's color?,Multicolor
ff6ae7af.jpg,What is the product?,Case
2a4bf384.jpg,What is the flower color?,Pink
2a4bf384.jpg,What is the case's pattern?,Floral
2a4bf384.jpg,What is the background color?,Gray
2a4bf384.jpg,What is the object in the image?,Phone
66a98f3c.jpg,What is the flower color?,Pink
66a98f3c.jpg,What is the case's pattern?,Floral
66a98f3c.jpg,What is the case's material?,Plastic
66a98f3c.jpg,What is the number of cameras?,Three
66a98f3c.jpg,What is the case's color?,Multicolor
55a97e82.jpg,What is the product?,case
55a97e82.jpg,What is the case for?,phone
55a97e82.jpg,What is the case's color?,multi-colored
55a97e82.jpg,What is printed on the case?,police booth
55a97e82.jpg,What is the case's material?,hard
10dfcaff.jpg,How many hearts are visible?,Four
10dfcaff.jpg,What is the color of the top heart?,Red
10dfcaff.jpg,What pattern is on the second heart?,Checkered
10dfcaff.jpg,What is the color of the bottom heart's dots?,White
10dfcaff.jpg,What shape are the decorations?,Hearts
1788b0de.jpg,What color is the frame?,Grey
1788b0de.jpg,What is the art's subject?,Cactus
1788b0de.jpg,What is the art's color?,Black
1788b0de.jpg,What is the art's material?,Wood
45390eda.jpg,What color is the letter?,Gold
45390eda.jpg,What is the letter on the case?,R
45390eda.jpg,What is the case's background color?,Blue
45390eda.jpg,What is the material of the case?,Plastic
016c9bd7.jpg,What is the main color?,blue
016c9bd7.jpg,What is the pattern color?,multicolored
016c9bd7.jpg,What is the item?,furniture
07935cff.jpg,What is the case's pattern?,Abstract
07935cff.jpg,What is the case's color?,Multicolor
07935cff.jpg,What material is the case?,Plastic
40c31e6e.jpg,What color is the shoe?,White
40c31e6e.jpg,What is the shoe's closure?,Lace-up
40c31e6e.jpg,What type of sole does the shoe have?,Rubber
c94cff2a.jpg,What color is the sheet?,grey
c94cff2a.jpg,What is on the nightstand?,mug
c94cff2a.jpg,What is next to the mug?,lamp
c94cff2a.jpg,What is behind the bed?,wall
c94cff2a.jpg,What is on the bed?,pillow
3cac2504.jpg,What is the color of the flowers?,Red
3cac2504.jpg,What is the pattern on the case?,Floral
3cac2504.jpg,What is the color of the leaves?,Green
3cac2504.jpg,What is the product?,Case
12858948.jpg,What color is the lantern?,Black
12858948.jpg,What is inside the lantern?,Candle
12858948.jpg,What shape is the lantern?,Rectangular
12858948.jpg,Is the lantern transparent?,Yes
12858948.jpg,What is the lantern made of?,Glass
b64667a9.jpg,What is the pattern?,Leaves
b64667a9.jpg,What color are the leaves?,Green
b64667a9.jpg,What is the background color?,Black
b64667a9.jpg,What is the product?,Case
b64667a9.jpg,What is the shape of the product?,Rectangle
a78828d6.jpg,What shape is prominent?,Heart
a78828d6.jpg,What color is the background?,Red
a78828d6.jpg,What is the flower color?,White
a78828d6.jpg,What is the heart outline color?,Gold
a78828d6.jpg,What is the bow color?,Gold
cf44f63f.jpg,What is the frame color?,Gold
cf44f63f.jpg,What is the background color?,White
cf44f63f.jpg,What is the product type?,Wall_art
cf44f63f.jpg,What is the artwork depicting?,Succulents
cf44f63f.jpg,How many large succulents are there?,4
ef125fe5.jpg,What is the item?,phone
ef125fe5.jpg,What color is left?,orange
ef125fe5.jpg,What color is middle?,yellow
ef125fe5.jpg,What color is right?,blue
ef125fe5.jpg,What is the pattern?,lines
6a4108f3.jpg,What is the case's color?,Multicolor
6a4108f3.jpg,What is written on the case?,Text
6a4108f3.jpg,What is the case's material?,Silicone
6a4108f3.jpg,What is the case's type?,Back
6a4108f3.jpg,What is the case's design?,Printed
11b4736a.jpg,What is the closure type?,Buckle
11b4736a.jpg,What is the heel shape?,Block
11b4736a.jpg,What is the shoe style?,Sandal
11b4736a.jpg,What is the primary color?,Magenta
11b4736a.jpg,What is the material?,Velvet
69abef4f.jpg,What is the product?,case
69abef4f.jpg,What is the case's pattern?,door
69abef4f.jpg,What is the case's color?,multi-colored
69abef4f.jpg,What is the case's material?,canvas
69abef4f.jpg,What is the case's design?,3D
abf66018.jpg,What is the shoe's color?,Brown
abf66018.jpg,What are the shoes made of?,Suede
abf66018.jpg,How many buckles are visible?,Two
61496122.jpg,What color is the table?,Black
61496122.jpg,What shape is the table top?,Round
61496122.jpg,What is the table's style?,Console
61496122.jpg,What material is the table made of?,Pine
61496122.jpg,What color are the legs?,Black
932b1a60.jpg,What is the pattern?,Arrows
932b1a60.jpg,What color are the arrows?,Black
932b1a60.jpg,What is the background color?,White
932b1a60.jpg,What is the orientation of the arrows?,Horizontal
932b1a60.jpg,Is the case patterned?,Yes
71460001.jpg,What is the ring's color?,Rose-gold
71460001.jpg,What is the ring's material?,Metal
71460001.jpg,What shape is the centerpiece?,Asscher
71460001.jpg,What is the product type?,Ring
71460001.jpg,What is the ring's color?,Rose
152c24bd.jpg,What is the background color?,Blue
152c24bd.jpg,What shape is the phone case?,Rectangle
152c24bd.jpg,What is the crown's color?,Gold
152c24bd.jpg,What word is below the crown?,Prince
152c24bd.jpg,What is the product type?,Case
01f4fc29.jpg,What is the color of the shoe?,Black
01f4fc29.jpg,What is the heel type?,Block
01f4fc29.jpg,What type of shoe is this?,Pump
01f4fc29.jpg,What is the pattern on the shoe?,Crocodile
01f4fc29.jpg,What is the closure type?,Slingback
8a4b946d.jpg,What is the color of the scarf?,Navy
8a4b946d.jpg,What is the product shown?,Scarf
8a4b946d.jpg,What is the material of the scarf?,Cashmere
b7da2900.jpg,What color is the background?,black
b7da2900.jpg,What is the color of the text?,gold
b7da2900.jpg,What shape is below the text?,heart
b7da2900.jpg,How many hearts are there?,two
b7da2900.jpg,What is the case for?,phone
81ab97d6.jpg,What is the case's pattern?,Sprinkles
81ab97d6.jpg,What is the shape of the logo cutout?,Apple
81ab97d6.jpg,What is the case's primary color?,Multi
e870534d.jpg,What color is the air conditioner?,White
e870534d.jpg,What brand is the air conditioner?,AmazonBasics
e870534d.jpg,What is the product type?,AIR_CONDITIONER
7021b228.jpg,What color is the album?,Pink
7021b228.jpg,What is the album's theme?,Baby
7021b228.jpg,What shape is the balloon?,Oval
7021b228.jpg,What is the baby in?,Stroller
7021b228.jpg,What is the album's material?,MDF
164d3e29.jpg,What color is the slipper?,Brown
164d3e29.jpg,What is the footwear's style?,Slide
164d3e29.jpg,What is the footwear made of?,Suede
295592f0.jpg,What is the background color?,Pink
295592f0.jpg,What is the object holding?,Heart
295592f0.jpg,What is the pattern?,Bear
d81f8764.jpg,What color are the cubes?,Purple
d81f8764.jpg,How many cubes are there?,Six
d81f8764.jpg,What is the top of the cubes made of?,Mesh
d81f8764.jpg,What shape are the cubes?,Rectangular
d81f8764.jpg,What is the zipper color?,Black
18d4fb0f.jpg,What color is the lid?,Clear
18d4fb0f.jpg,What shape is the lid?,Dome
18d4fb0f.jpg,What is the lid made of?,Plastic
db9a7ac6.jpg,What is the color of the letter?,Gold
db9a7ac6.jpg,What is the material of the case?,Plastic
db9a7ac6.jpg,What is the pattern color?,Gold
db9a7ac6.jpg,What is the case color?,Black
db9a7ac6.jpg,What is on the right?,Letter
41f9d276.jpg,What pattern is on the shoe?,Leopard
41f9d276.jpg,What is the shoe type?,Flat
41f9d276.jpg,What is the shoe's toe shape?,Round
41f9d276.jpg,What is the shoe's color?,Tan
129d344f.jpg,What is the case's pattern?,Abstract
129d344f.jpg,What color is the case?,Multicolor
129d344f.jpg,What is the case's material?,Hard
129d344f.jpg,What is the case's style?,Designer
15ae9792.jpg,What is the color of the phone case?,Multicolor
15ae9792.jpg,What is the pattern on the case?,Waterdrops
15ae9792.jpg,What is the material of the case?,Silicon
15ae9792.jpg,What is the product type?,Case
be50b28d.jpg,What is the case's pattern?,Zigzag
be50b28d.jpg,What color is the zigzag pattern?,Golden
be50b28d.jpg,What is the background color?,Black
be50b28d.jpg,What is the case's material?,Plastic
be50b28d.jpg,What is the item's type?,Case
55a90f5d.jpg,What is the case's color?,multicolored
55a90f5d.jpg,What is the case's pattern?,rainbow
55a90f5d.jpg,What is the case's material?,hard
55a90f5d.jpg,What is the phone's brand?,xiaomi
55a90f5d.jpg,What is the phone's model?,redmi
83a7acad.jpg,What color is the mattress pad?,White
83a7acad.jpg,What is the mattress pad made of?,Cotton
83a7acad.jpg,What is the product type?,HOME
3cb2f99b.jpg,What is the background?,Wood
3cb2f99b.jpg,How many hearts are red?,Two
3cb2f99b.jpg,What shape are the decorations?,Hearts
3cb2f99b.jpg,What is the color of the top heart?,Red
3cb2f99b.jpg,What is the color of the second heart?,White
fd686a69.jpg,What is the case's color?,Multicolor
fd686a69.jpg,What is the material of the case?,Silicon
fd686a69.jpg,What is the scene on the case?,Beach
fd686a69.jpg,What is the product type?,Case
fd686a69.jpg,What is the case's design?,Wooden
4a57161a.jpg,What is the case's pattern?,Paris
4a57161a.jpg,What is the case's color?,Multicolor
4a57161a.jpg,What is the material of the case?,Silicone
4a57161a.jpg,What is the tower on the left?,Eiffel
4a57161a.jpg,What is the product type?,Case
793983a5.jpg,What color is the raincoat?,blue
793983a5.jpg,What is on the dog's back?,hood
793983a5.jpg,What is on the dog's body?,coat
512924fc.jpg,What color is the phone case?,Pink
512924fc.jpg,What animal is on the case?,Panda
512924fc.jpg,How many pandas are on the case?,Six
b539bf10.jpg,What is the color of the sky?,Orange
b539bf10.jpg,What is the shape of the bright object?,Circle
b539bf10.jpg,What is the pattern on the case?,Sunset
b539bf10.jpg,What is the color of the bottom?,Red
b539bf10.jpg,What is the color of the case?,Multicolor
6b26286a.jpg,What color is this?,Black
389a50ec.jpg,What shape is the table?,Rectangle
389a50ec.jpg,What color is the table?,Brown
389a50ec.jpg,What is the table made of?,Stone
389a50ec.jpg,What is the finish of the table?,Oak
37abee22.jpg,What is the case's color?,Monochrome
37abee22.jpg,What is the object in the image?,Cross
37abee22.jpg,What is the image's tone?,Monochrome
37abee22.jpg,What is the case's pattern?,Cross
37abee22.jpg,What is the case's material?,Plastic
d8eb6233.jpg,What color is the bed?,Gray
d8eb6233.jpg,What is the bed made of?,Velvet
d8eb6233.jpg,What is the product?,Bed
d8eb6233.jpg,What shape are the legs?,Round
d8eb6233.jpg,What is on the bed?,Mattress
eff2ad93.jpg,What color is the sheet?,Black
eff2ad93.jpg,What is on the bed?,Sheet
eff2ad93.jpg,What is the color of the pillow?,Beige
eff2ad93.jpg,What is next to the bed?,Table
eff2ad93.jpg,What is on the table?,Lamp
c60226d4.jpg,What is the background color?,black
c60226d4.jpg,What is the pattern color?,white
c60226d4.jpg,What is the pattern shape?,floral
d5ccd035.jpg,What color is the shoe?,Pink
d5ccd035.jpg,What type of footwear is this?,Shoe
cdb2a1fa.jpg,What is the case's color?,Multicolor
cdb2a1fa.jpg,What is the case's material?,Plastic
cdb2a1fa.jpg,What is the product type?,Case
466fec61.jpg,What color are the leaves?,Green
466fec61.jpg,What is the pattern on the case?,Leaves
466fec61.jpg,What is the shape of the branch?,Curved
466fec61.jpg,What is the product?,Case
4ecbf053.jpg,What color are the sandals?,White
4ecbf053.jpg,What is the footwear type?,Sandal
4ecbf053.jpg,What is the sandal style?,Strappy
316aa596.jpg,What color is the appliance?,White
316aa596.jpg,How many jars are visible?,Three
316aa596.jpg,What material are the jars made of?,Stainless
316aa596.jpg,What is the product type?,Kitchen
316aa596.jpg,What is the color of the base?,White
a99fcc46.jpg,What is the pattern?,Squares
a99fcc46.jpg,What is written at the bottom?,Hate
a99fcc46.jpg,What is the item?,Case
a99fcc46.jpg,What is the case for?,Phone
a99fcc46.jpg,What is the color of the squares?,Beige
212d254a.jpg,What is the color of the phone case?,Blue
212d254a.jpg,What is the pattern on the case?,Abstract
212d254a.jpg,What is the case made of?,Hard
212d254a.jpg,Is the case for a phone?,Yes
212d254a.jpg,Is the case 3D?,Yes
590d5342.jpg,What is the item?,Tie
590d5342.jpg,What color is the tie?,Black
c1133f36.jpg,What shape is the central design?,Circular
c1133f36.jpg,What is the color of the central circle?,Blue
c1133f36.jpg,What is the color of the outer circles?,Green
c1133f36.jpg,What is the product type?,Case
c1133f36.jpg,What is the pattern?,Rangoli
e34a03b6.jpg,What color are the shoes?,Tan
e34a03b6.jpg,What is the heel shape?,Block
e34a03b6.jpg,What is the closure type?,Lace-Up
e34a03b6.jpg,What is the shoe style?,Derby
e34a03b6.jpg,What is the toe style?,Pointed
fe1f4e42.jpg,What is the background color?,yellow
fe1f4e42.jpg,What is the item's material?,plastic
fe1f4e42.jpg,What is the item's color?,multicolored
fe1f4e42.jpg,What is the item's pattern?,cameras
accf59d6.jpg,What is the brand name?,SOLIMO
accf59d6.jpg,How many bottles are shown?,TWO
accf59d6.jpg,What color is the probiotic label?,GREEN
accf59d6.jpg,What is the vitamin?,D3
accf59d6.jpg,What is the unit of measurement for vitamin D3?,MCG
a140b454.jpg,What is the product?,Case
a140b454.jpg,What animal is on the case?,Lion
a140b454.jpg,What is the case's background color?,Beige
a140b454.jpg,How many lions are there?,Two
a140b454.jpg,What is the case made for?,Phone
09f25512.jpg,What is the case's pattern?,Trees
09f25512.jpg,What is written on the case?,Alone
09f25512.jpg,What is the case's color?,Multicolor
212f574d.jpg,What animal is pictured?,Cat
212f574d.jpg,What color are the eyes?,Pink
212f574d.jpg,What is the background color?,Purple
212f574d.jpg,What is the product?,Case
212f574d.jpg,What is the case for?,Phone
6ae07a43.jpg,What shape is the red object?,Heart
6ae07a43.jpg,What color is the top heart?,Beige
6ae07a43.jpg,What is the background made of?,Wood
6ae07a43.jpg,What color is the bottom pattern?,Red
6ae07a43.jpg,What is the product?,Case
7dfdefe2.jpg,What is the background color?,Pink
7dfdefe2.jpg,What is the pattern?,Monkey
7dfdefe2.jpg,What is the object?,Phone
f47efdfb.jpg,What is the product type?,sandal
f47efdfb.jpg,What is the color of the sandal?,black
f47efdfb.jpg,What is the sandal style?,flat
f47efdfb.jpg,What is the upper material?,leather
f47efdfb.jpg,What is the sandal style?,gladiator
dbd19334.jpg,What pattern is on the bedding?,Striped
dbd19334.jpg,What color are the stripes?,Pink
dbd19334.jpg,What is the material of the bedding?,Cotton
dbd19334.jpg,What is the product type?,Home
dbd19334.jpg,How many pillows are visible?,Two
56ecf3e8.jpg,What is the product?,Case
56ecf3e8.jpg,What is the color of the flower?,White
56ecf3e8.jpg,What is the pattern on the hat?,Dots
56ecf3e8.jpg,What is the color of the background?,Pink
56ecf3e8.jpg,What is the color of the silhouette?,Black
001a3f3f.jpg,What color is the phone case?,Black
001a3f3f.jpg,What is written on the case?,Girl
001a3f3f.jpg,What is the color of the text?,Gold
001a3f3f.jpg,What is the case's material?,Hard
f57b7fd6.jpg,What is the letter on the case?,J
f57b7fd6.jpg,What is the case's color?,Blue
f57b7fd6.jpg,What is the material?,Plastic
88429594.jpg,What is the case's color?,black
88429594.jpg,What is the material of the case?,silicone
88429594.jpg,What is the case's design?,printed
88429594.jpg,What is the case's shape?,rectangular
88429594.jpg,What is the case's brand?,amazon
fce7eae9.jpg,What is the case's color?,Multi-colored
fce7eae9.jpg,What is the predominant color?,Yellow
fce7eae9.jpg,What is the case's pattern?,Abstract
fce7eae9.jpg,What is the case's material?,Hard
fce7eae9.jpg,What is the case's style?,Designer
3e113930.jpg,What is the dress length?,Midi
3e113930.jpg,What is the dress's pattern?,Paisley
3e113930.jpg,What is the dress's color?,Blue
3e113930.jpg,What is the gender of the model?,Female
3e113930.jpg,What is the dress's sleeve length?,Short
f4e2df00.jpg,What color is the case?,Multicolor
f4e2df00.jpg,What is the case's pattern style?,Pattern
f4e2df00.jpg,What material is the case made of?,Plastic
f4e2df00.jpg,What is the case's primary color?,Purple
6962724a.jpg,What color is the shoe?,Red
6962724a.jpg,What type of shoe is this?,Loafer
3d6f49dd.jpg,What animal is pictured?,Squirrel
3d6f49dd.jpg,What color are the flowers?,Blue
